2.404034782361335e15,0.
2.4045561252616705e15,1.0538673374330325e-9
2.405047007532856e15,1.0538673374330325e-9
2.4055687895988615e15,5.269336687165162e-10
2.406090798118324e15,1.0538673374330325e-9
2.4066130332386955e15,5.269336687165162e-10
2.407104755777029e15,1.0538673374330325e-9
2.4076274311911665e15,2.107734674866065e-9
2.408150333640642e15,4.21546934973213e-9
2.408673463273414e15,3.6885356810156135e-9
2.4091968202375715e15,5.2693366871651626e-9
2.4096895992967325e15,3.6885356810156135e-9
2.4102133979744465e15,5.2693366871651626e-9
2.4107374244198435e15,1.2119474380479874e-8
2.411261678781518e15,2.1604280417377165e-8
2.4117861612081935e15,3.372375479785704e-8
2.4122800001969235e15,6.217817290854892e-8
2.4128049257630605e15,1.0802140208688583e-7
2.4133300798323765e15,1.7283424333901732e-7
2.413855462554106e15,2.4133562027216445e-7
2.414381074077615e15,2.9929832383098124e-7
2.4149069145524005e15,3.3038741028525567e-7
2.415402032514353e15,3.4250688466573554e-7
2.415928317851216e15,3.535724917087824e-7
2.416454832579804e15,3.620034304082467e-7
2.4169815768501255e15,3.535724917087824e-7
2.417508550812322e15,3.5620716005236496e-7
2.418035754616666e15,3.5409942537749893e-7
2.4185631884135595e15,3.6042262940209713e-7
2.419059806924803e15,3.609495630708136e-7
2.4195876876076655e15,3.5515329271493194e-7
2.4201157987262005e15,3.504108896964833e-7
2.420644140431329e15,3.493570223590503e-7
2.4211727128741035e15,3.182679359047758e-7
2.421701516205709e15,2.6083216601467554e-7
2.4222305505774625e15,1.849537177194972e-7
2.422759816140814e15,1.2119474380479873e-7
2.4232581597638085e15,7.008217793929666e-8
2.4237878745436815e15,4.057389249117175e-8
2.424317820961359e15,2.4238948760959748e-8
2.424847999168812e15,1.5281076392778972e-8
2.4253784093181455e15,1.0538673374330325e-8
2.425909051561596e15,5.796270355881679e-9
2.4264399260515365e15,4.21546934973213e-9
2.4269710329404715e15,3.6885356810156135e-9
2.427502372381038e15,2.107734674866065e-9
2.428033944526008e15,3.1616020122990972e-9
2.4285657495282885e15,1.5808010061495486e-9
2.429066484734376e15,1.0538673374330325e-9
